,queries,actual_value
0,"SELECT * FROM higgs WHERE ""b"" BETWEEN 1.67 AND 6.28 AND ""d"" BETWEEN 4.13 AND 9.37 AND ""e"" BETWEEN 8.14 AND 14.35 AND ""f"" BETWEEN 9.02 AND 10.26;",0.0
1,"SELECT * FROM higgs WHERE ""f"" BETWEEN 1.63 AND 10.95 AND ""d"" BETWEEN 11.44 AND 12.06 AND ""e"" BETWEEN 7.70 AND 11.83 AND ""b"" BETWEEN 4.93 AND 5.99 AND ""a"" BETWEEN 8.60 AND 14.69 AND ""c"" BETWEEN 3.05 AND 3.53;",0.0
2,"SELECT * FROM higgs WHERE ""e"" BETWEEN 4.18 AND 4.41 AND ""f"" BETWEEN 2.35 AND 3.67;",1849.0
3,"SELECT * FROM higgs WHERE ""e"" BETWEEN 4.98 AND 7.81 AND ""c"" BETWEEN 1.55 AND 2.41 AND ""g"" BETWEEN 6.17 AND 6.86 AND ""f"" BETWEEN 5.95 AND 7.92 AND ""a"" BETWEEN 17.62 AND 26.23;",0.0
4,"SELECT * FROM higgs WHERE ""g"" BETWEEN 1.55 AND 3.93 AND ""f"" BETWEEN 3.86 AND 4.80 AND ""d"" BETWEEN 5.05 AND 13.17 AND ""e"" BETWEEN 2.71 AND 9.48;",481.0
5,"SELECT * FROM higgs WHERE ""c"" BETWEEN 0.12 AND 0.41 AND ""a"" BETWEEN 16.28 AND 35.05 AND ""g"" BETWEEN 2.53 AND 3.72;",0.0
6,"SELECT * FROM higgs WHERE ""b"" BETWEEN 9.17 AND 14.72 AND ""e"" BETWEEN 7.78 AND 12.70 AND ""g"" BETWEEN 6.46 AND 7.50 AND ""f"" BETWEEN 1.84 AND 5.23 AND ""a"" BETWEEN 17.01 AND 22.95;",0.0
7,"SELECT * FROM higgs WHERE ""e"" BETWEEN 5.42 AND 11.59 AND ""g"" BETWEEN 4.58 AND 8.33 AND ""c"" BETWEEN 1.88 AND 7.22;",4.0
8,"SELECT * FROM higgs WHERE ""a"" BETWEEN 1.16 AND 10.27 AND ""g"" BETWEEN 1.48 AND 4.28 AND ""b"" BETWEEN 9.01 AND 12.89 AND ""e"" BETWEEN 4.76 AND 16.98 AND ""f"" BETWEEN 7.25 AND 7.34;",0.0
9,"SELECT * FROM higgs WHERE ""b"" BETWEEN 1.45 AND 14.83 AND ""g"" BETWEEN 4.70 AND 6.22 AND ""e"" BETWEEN 9.29 AND 15.51 AND ""c"" BETWEEN 5.00 AND 6.51 AND ""a"" BETWEEN 7.33 AND 34.98 AND ""d"" BETWEEN 6.16 AND 11.53 AND ""f"" BETWEEN 8.15 AND 10.78;",0.0
10,"SELECT * FROM higgs WHERE ""c"" BETWEEN 3.07 AND 5.06 AND ""f"" BETWEEN 3.77 AND 4.48;",17.0
11,"SELECT * FROM higgs WHERE ""a"" BETWEEN 28.47 AND 37.31 AND ""b"" BETWEEN 2.45 AND 7.39;",0.0
12,"SELECT * FROM higgs WHERE ""d"" BETWEEN 0.52 AND 3.50 AND ""g"" BETWEEN 1.94 AND 6.89 AND ""b"" BETWEEN 6.11 AND 10.55 AND ""a"" BETWEEN 1.77 AND 39.20 AND ""f"" BETWEEN 0.82 AND 8.40;",2411.0
13,"SELECT * FROM higgs WHERE ""g"" BETWEEN 2.91 AND 4.65 AND ""d"" BETWEEN 1.90 AND 13.12 AND ""f"" BETWEEN 2.04 AND 5.24 AND ""c"" BETWEEN 4.10 AND 4.29 AND ""b"" BETWEEN 1.71 AND 9.91;",3.0
14,"SELECT * FROM higgs WHERE ""d"" BETWEEN 2.87 AND 4.89 AND ""f"" BETWEEN 10.48 AND 10.85 AND ""a"" BETWEEN 12.87 AND 24.35 AND ""c"" BETWEEN 2.30 AND 3.06 AND ""e"" BETWEEN 3.32 AND 7.24 AND ""g"" BETWEEN 1.16 AND 7.44;",0.0
15,"SELECT * FROM higgs WHERE ""d"" BETWEEN 2.56 AND 8.31 AND ""b"" BETWEEN 0.68 AND 7.62 AND ""g"" BETWEEN 1.96 AND 4.16 AND ""f"" BETWEEN 5.04 AND 10.46 AND ""c"" BETWEEN 0.10 AND 6.28 AND ""a"" BETWEEN 9.84 AND 20.26;",3.0
16,"SELECT * FROM higgs WHERE ""d"" BETWEEN 4.51 AND 6.00 AND ""b"" BETWEEN 3.97 AND 18.69 AND ""g"" BETWEEN 5.05 AND 7.57 AND ""f"" BETWEEN 2.05 AND 10.48 AND ""a"" BETWEEN 5.40 AND 35.39 AND ""e"" BETWEEN 8.89 AND 13.08 AND ""c"" BETWEEN 1.95 AND 5.71;",0.0
17,"SELECT * FROM higgs WHERE ""a"" BETWEEN 6.23 AND 9.02 AND ""d"" BETWEEN 2.09 AND 14.26 AND ""b"" BETWEEN 0.45 AND 12.10;",1076.0
18,"SELECT * FROM higgs WHERE ""f"" BETWEEN 2.14 AND 5.25 AND ""e"" BETWEEN 11.78 AND 16.23 AND ""g"" BETWEEN 1.10 AND 1.88 AND ""c"" BETWEEN 3.00 AND 3.80 AND ""b"" BETWEEN 8.66 AND 16.64 AND ""a"" BETWEEN 9.89 AND 11.60;",0.0
